Timestamp,Name,1. What is your year of study?,2. What is your gender?,3. How often do you have difficulty falling asleep at night? ,"4. On average, how many hours of sleep do you get on a typical day?",5. How often do you wake up during the night and have trouble falling back asleep?,6. How would you rate the overall quality of your sleep?,7. How often do you experience difficulty concentrating during lectures or studying due to lack of sleep?,"8. How often do you feel fatigued during the day, affecting your ability to study or attend classes?","9. How often do you miss or skip classes due to sleep-related issues (e.g., insomnia, feeling tired)?",10. How would you describe the impact of insufficient sleep on your ability to complete assignments and meet deadlines?,"11. How often do you use electronic devices (e.g., phone, computer) before going to sleep?","12. How often do you consume caffeine (coffee, energy drinks) to stay awake or alert?",13. How often do you engage in physical activity or exercise?,14. How would you describe your stress levels related to academic workload?,15. How would you rate your overall academic performance (GPA or grades) in the past semester?,hours_numeric,hours_z
10/24/2024 16:51,Michael Smith,Third year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Often,Sometimes,Sometimes (1-2 times a week),Major impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),Low stress,Good,7.5,-0.27093981378634746
10/24/2024 16:52,Karen Jones,First year,Female,Sometimes (3-4 times a week),7-8 hours,Sometimes (3-4 times a week),Good,Often,Often,Sometimes (1-2 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average,7.5,-0.27093981378634746
10/24/2024 16:53,Linda Jones,Third year,Male,Often (5-6 times a week),More than 8 hours,Sometimes (3-4 times a week),Poor,Often,Often,Rarely (1-2 times a month),Minor impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Every day,Extremely high stress,Excellent,8.5,0.9956222072871798
10/24/2024 16:53,Charles Miller,Second year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very good,Sometimes,Rarely,Sometimes (1-2 times a week),Minor impact,Sometimes (3-4 times a week),Often (5-6 times a week),Rarely (1-2 times a week),High stress,Below Average,7.5,-0.27093981378634746
10/24/2024 16:54,Joseph Rodriguez,Third year,Male,Sometimes (3-4 times a week),7-8 hours,Often (5-6 times a week),Good,Sometimes,Often,Sometimes (1-2 times a week),Minor impact,Rarely (1-2 times a week),Rarely (1-2 times a week),Never,No stress,Good,7.5,-0.27093981378634746
10/24/2024 16:54,Barbara Garcia,Third year,Male,Often (5-6 times a week),More than 8 hours,Every night,Good,Always,Sometimes,Often (3-4 times a week),Moderate impact,Often (5-6 times a week),Rarely (1-2 times a week),Rarely (1-2 times a week),Low stress,Good,8.5,0.9956222072871798
10/24/2024 16:55,Karen Martin,Third year,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Average,Sometimes,Rarely,Rarely (1-2 times a month),Moderate impact,Rarely (1-2 times a week),Rarely (1-2 times a week),Sometimes (3-4 times a week),Extremely high stress,Average,8.5,0.9956222072871798
10/24/2024 16:56,Lisa Brown,Third year,Male,Every night,More than 8 hours,Every night,Very good,Always,Always,Always,Moderate impact,Often (5-6 times a week),Sometimes (3-4 times a week),Often (5-6 times a week),High stress,Poor,8.5,0.9956222072871798
10/24/2024 16:57,Jennifer Martinez,Second year,Female,Often (5-6 times a week),7-8 hours,Every night,Poor,Often,Sometimes,Always,Major impact,Sometimes (3-4 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),High stress,Average,7.5,-0.27093981378634746
10/24/2024 16:58,Patricia Jackson,Third year,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Good,Often,Sometimes,Always,Major impact,Sometimes (3-4 times a week),Every day,Sometimes (3-4 times a week),High stress,Average,8.5,0.9956222072871798
